Serial,Latitude,Longitude,Type,SensorType,Code,BeginTime,EndTime,LAT,LNG
PI040298AD5J215142,-7.922999999999999,54.98,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_5tjrqt1c,2018-10-17T13:14:07.000Z,2018-10-17T13:59:07.000Z,54.98,-7.922999999999999
PI040298AD5J215142,-7.922999999999999,54.98,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_5tjrqt1c,2018-10-17T13:14:07.000Z,2018-10-17T13:59:07.000Z,54.98,-7.922999999999999
PI040298AD5J215142,-7.922999999999999,54.98,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_5tjrqt1c,2018-10-17T13:14:07.000Z,2018-10-17T13:59:07.000Z,54.98,-7.922999999999999
PI040298AD5J215142,-7.922999999999999,54.98,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_5tjrqt1c,2018-10-17T13:14:07.000Z,2018-10-17T13:59:07.000Z,54.98,-7.922999999999999
PI040298AD5J215142,-7.922999999999999,54.98,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_5tjrqt1c,2018-10-17T13:14:07.000Z,2018-10-17T13:59:07.000Z,54.98,-7.922999999999999
PI040298AD5J215142,-7.922999999999999,54.98,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_5tjrqt1c,2018-10-17T13:14:07.000Z,2018-10-17T13:59:07.000Z,54.98,-7.922999999999999
PI040298AD5J215095,-7.968,54.964,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fqzb9jsq,2018-10-17T13:31:11.000Z,2018-12-29T09:40:49.000Z,54.964,-7.968
PI040298AD5J215095,-7.968,54.964,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_fqzb9jsq,2018-10-17T13:31:11.000Z,2018-12-29T09:40:49.000Z,54.964,-7.968
PI040298AD5J215095,-7.968,54.964,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_fqzb9jsq,2018-10-17T13:31:11.000Z,2018-12-29T09:40:49.000Z,54.964,-7.968
PI040298AD5J215095,-7.968,54.964,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_fqzb9jsq,2018-10-17T13:31:11.000Z,2018-12-29T09:40:49.000Z,54.964,-7.968
PI040298AD5J215095,-7.968,54.964,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_fqzb9jsq,2018-10-17T13:31:11.000Z,2018-12-29T09:40:49.000Z,54.964,-7.968
PI040298AD5J215095,-7.968,54.964,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_fqzb9jsq,2018-10-17T13:31:11.000Z,2018-12-29T09:40:49.000Z,54.964,-7.968
PI040298AD5J214214,-7.922000000000001,54.979,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_mqe06kvv,2018-10-17T13:22:33.000Z,2018-10-17T14:07:33.000Z,54.979,-7.922000000000001
PI040298AD5J214214,-7.922000000000001,54.979,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_mqe06kvv,2018-10-17T13:22:33.000Z,2018-10-17T14:07:33.000Z,54.979,-7.922000000000001
PI040298AD5J214214,-7.922000000000001,54.979,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_mqe06kvv,2018-10-17T13:22:33.000Z,2018-10-17T14:07:33.000Z,54.979,-7.922000000000001
PI040298AD5J214214,-7.922000000000001,54.979,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_mqe06kvv,2018-10-17T13:22:33.000Z,2018-10-17T14:07:33.000Z,54.979,-7.922000000000001
PI040298AD5J214214,-7.922000000000001,54.979,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_mqe06kvv,2018-10-17T13:22:33.000Z,2018-10-17T14:07:33.000Z,54.979,-7.922000000000001
PI040298AD5J214214,-7.922000000000001,54.979,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_mqe06kvv,2018-10-17T13:22:33.000Z,2018-10-17T14:07:33.000Z,54.979,-7.922000000000001
PI040298AD5J214635,-7.9239999999999995,54.981,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_xw97j79a,2018-10-17T13:02:55.000Z,2018-10-17T14:32:55.000Z,54.981,-7.9239999999999995
PI040298AD5J214635,-7.9239999999999995,54.981,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_xw97j79a,2018-10-17T13:02:55.000Z,2018-10-17T14:32:55.000Z,54.981,-7.9239999999999995
PI040298AD5J214635,-7.9239999999999995,54.981,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_xw97j79a,2018-10-17T13:02:55.000Z,2018-10-17T14:32:55.000Z,54.981,-7.9239999999999995
PI040298AD5J214635,-7.9239999999999995,54.981,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_xw97j79a,2018-10-17T13:02:55.000Z,2018-10-17T14:32:55.000Z,54.981,-7.9239999999999995
PI040298AD5J214635,-7.9239999999999995,54.981,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_xw97j79a,2018-10-17T13:02:55.000Z,2018-10-17T14:32:55.000Z,54.981,-7.9239999999999995
PI040298AD5J214635,-7.9239999999999995,54.981,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_xw97j79a,2018-10-17T13:02:55.000Z,2018-10-17T14:32:55.000Z,54.981,-7.9239999999999995
PI040298AD5G203425,-7.9239999999999995,54.98,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fzja2fbn,2018-10-17T13:11:22.000Z,2018-10-17T13:56:22.000Z,54.98,-7.9239999999999995
PI040298AD5G203425,-7.9239999999999995,54.98,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_fzja2fbn,2018-10-17T13:11:22.000Z,2018-10-17T13:56:22.000Z,54.98,-7.9239999999999995
PI040298AD5G203425,-7.9239999999999995,54.98,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_fzja2fbn,2018-10-17T13:11:22.000Z,2018-10-17T13:56:22.000Z,54.98,-7.9239999999999995
PI040298AD5G203425,-7.9239999999999995,54.98,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_fzja2fbn,2018-10-17T13:11:22.000Z,2018-10-17T13:56:22.000Z,54.98,-7.9239999999999995
PI040298AD5G203425,-7.9239999999999995,54.98,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_fzja2fbn,2018-10-17T13:11:22.000Z,2018-10-17T13:56:22.000Z,54.98,-7.9239999999999995
PI040298AD5G203425,-7.9239999999999995,54.98,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_fzja2fbn,2018-10-17T13:11:22.000Z,2018-10-17T13:56:22.000Z,54.98,-7.9239999999999995
PI040297AD5I205461,-2.88,56.638999999999996,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_qv71bqpk,2018-10-20T19:46:34.000Z,2019-04-01T21:07:01.000Z,56.638999999999996,-2.88
PI040297AD5I205461,-2.88,56.638999999999996,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_qv71bqpk,2018-10-20T19:46:34.000Z,2019-04-01T21:07:01.000Z,56.638999999999996,-2.88
PI040297AD5I205461,-2.88,56.638999999999996,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_qv71bqpk,2018-10-20T19:46:34.000Z,2019-04-01T21:07:01.000Z,56.638999999999996,-2.88
PI040297AD5I205461,-2.88,56.638999999999996,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_qv71bqpk,2018-10-20T19:46:34.000Z,2019-04-01T21:07:01.000Z,56.638999999999996,-2.88
PI040297AD5I205461,-2.88,56.638999999999996,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_qv71bqpk,2018-10-20T19:46:34.000Z,2019-04-01T21:07:01.000Z,56.638999999999996,-2.88
PI040297AD5I205461,-2.88,56.638999999999996,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_qv71bqpk,2018-10-20T19:46:34.000Z,2019-04-01T21:07:01.000Z,56.638999999999996,-2.88
PI040297AD5I203550,-2.8810000000000002,56.638999999999996,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_vz0587gv,2018-10-20T19:54:07.000Z,2019-04-06T09:03:17.000Z,56.638999999999996,-2.8810000000000002
PI040297AD5I203550,-2.8810000000000002,56.638999999999996,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_vz0587gv,2018-10-20T19:54:07.000Z,2019-04-06T09:03:17.000Z,56.638999999999996,-2.8810000000000002
PI040297AD5I203550,-2.8810000000000002,56.638999999999996,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_vz0587gv,2018-10-20T19:54:07.000Z,2019-04-06T09:03:17.000Z,56.638999999999996,-2.8810000000000002
PI040297AD5I203550,-2.8810000000000002,56.638999999999996,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_vz0587gv,2018-10-20T19:54:07.000Z,2019-04-06T09:03:17.000Z,56.638999999999996,-2.8810000000000002
PI040297AD5I203550,-2.8810000000000002,56.638999999999996,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_vz0587gv,2018-10-20T19:54:07.000Z,2019-04-06T09:03:17.000Z,56.638999999999996,-2.8810000000000002
PI040297AD5I203550,-2.8810000000000002,56.638999999999996,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_vz0587gv,2018-10-20T19:54:07.000Z,2019-04-06T09:03:17.000Z,56.638999999999996,-2.8810000000000002
